"ID";"Reason.for.absence";"Month.of.absence";"Day.of.the.week";"Seasons";"Transportation.expense";"Distance.from.Residence.to.Work";"Service.time";"Age";"Work.load.Average.day";"Hit.target";"Disciplinary.failure";"Education";"Son";"Social.drinker";"Social.smoker";"Pet";"Weight";"Height";"Body.mass.index";"ID.Worker";"Absenteeism"
"647";"647";27;3;3;3;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"649";"649";13;3;4;3;155;12;14;34;222.196;99;0;1;2;1;0;0;95;196;25;14;TRUE
"650";"650";27;3;4;3;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"651";"651";27;3;5;3;179;51;18;38;222.196;99;0;1;0;1;0;0;89;170;31;3;FALSE
"652";"652";13;3;2;3;179;26;9;30;222.196;99;0;3;0;0;0;0;56;171;19;22;FALSE
"653";"653";19;3;2;3;289;36;13;33;222.196;99;0;1;2;1;0;1;90;172;30;11;TRUE
"655";"655";13;4;2;3;225;26;9;28;246.288;91;0;1;1;0;0;2;69;169;24;28;TRUE
"656";"656";10;4;2;3;118;10;10;37;246.288;91;0;1;0;0;0;0;83;172;28;34;TRUE
"658";"658";19;4;4;3;248;25;14;47;246.288;91;0;1;2;0;0;1;86;165;32;33;TRUE
"659";"659";13;4;5;3;189;29;13;33;246.288;91;0;1;2;0;0;2;69;167;25;6;TRUE
"661";"661";7;4;2;3;369;17;12;31;246.288;91;0;1;3;1;0;0;70;169;25;13;TRUE
"662";"662";16;4;3;3;179;22;17;40;246.288;91;0;2;2;0;1;0;63;170;22;17;FALSE
"663";"663";23;4;3;3;118;13;18;50;246.288;91;0;1;1;1;0;0;98;178;31;36;FALSE
"664";"664";23;4;3;3;361;52;3;28;246.288;91;0;1;1;1;0;4;80;172;27;10;FALSE
"665";"665";10;4;4;3;118;10;10;37;246.288;91;0;1;0;0;0;0;83;172;28;34;FALSE
"666";"666";22;4;6;3;235;11;14;37;246.288;91;0;3;1;0;0;1;88;172;29;1;TRUE
"667";"667";27;4;6;3;179;26;9;30;246.288;91;0;3;0;0;0;0;56;171;19;22;FALSE
"668";"668";19;4;2;3;225;26;9;28;246.288;91;0;1;1;0;0;2;69;169;24;28;TRUE
"669";"669";16;4;3;3;235;16;8;32;246.288;91;0;3;0;0;0;0;75;178;25;25;FALSE
"670";"670";27;4;6;3;179;26;9;30;246.288;91;0;3;0;0;0;0;56;171;19;22;FALSE
"671";"671";28;4;3;3;155;12;14;34;246.288;91;0;1;2;1;0;0;95;196;25;14;FALSE
"672";"672";19;4;5;3;225;26;9;28;246.288;91;0;1;1;0;0;2;69;169;24;28;TRUE
"673";"673";14;4;5;3;118;13;18;50;246.288;91;0;1;1;1;0;0;98;178;31;36;FALSE
"674";"674";27;4;6;3;179;26;9;30;246.288;91;0;3;0;0;0;0;56;171;19;22;FALSE
"675";"675";22;5;2;3;235;11;14;37;237.656;99;0;3;1;0;0;1;88;172;29;1;TRUE
"676";"676";19;5;4;3;225;15;15;41;237.656;99;0;4;2;1;0;2;94;182;28;29;FALSE
"677";"677";28;5;4;3;235;16;8;32;237.656;99;0;3;0;0;0;0;75;178;25;25;FALSE
"678";"678";8;5;4;3;118;10;10;37;237.656;99;0;1;0;0;0;0;83;172;28;34;FALSE
"679";"679";26;5;4;3;235;20;13;43;237.656;99;0;1;1;1;0;0;106;167;38;5;TRUE
"680";"680";13;5;5;3;179;26;9;30;237.656;99;0;3;0;0;0;0;56;171;19;22;FALSE
"681";"681";28;5;5;3;291;31;12;40;237.656;99;0;1;1;1;0;1;73;171;25;15;FALSE
"683";"683";19;5;6;3;300;26;13;43;237.656;99;0;1;2;1;1;1;77;175;25;26;TRUE
"684";"684";22;5;6;3;225;15;15;41;237.656;99;0;4;2;1;0;2;94;182;28;29;TRUE
"687";"687";5;5;3;3;118;13;18;50;237.656;99;0;1;1;1;0;0;98;178;31;36;FALSE
"688";"688";28;5;3;3;118;10;10;37;237.656;99;0;1;0;0;0;0;83;172;28;34;FALSE
"690";"690";27;5;4;3;179;26;9;30;237.656;99;0;3;0;0;0;0;56;171;19;22;FALSE
"692";"692";16;5;6;3;179;22;17;40;237.656;99;0;2;2;0;1;0;63;170;22;17;FALSE
"693";"693";10;5;2;3;155;12;14;34;237.656;99;0;1;2;1;0;0;95;196;25;14;TRUE
"694";"694";10;5;2;3;235;16;8;32;237.656;99;0;3;0;0;0;0;75;178;25;25;TRUE
"695";"695";22;5;4;3;291;31;12;40;237.656;99;0;1;1;1;0;1;73;171;25;15;TRUE
"696";"696";10;5;4;3;179;22;17;40;237.656;99;0;2;2;0;1;0;63;170;22;17;TRUE
"697";"697";6;5;4;3;225;26;9;28;237.656;99;0;1;1;0;0;2;69;169;24;28;FALSE
"698";"698";10;5;5;3;330;16;4;28;237.656;99;0;2;0;0;0;0;84;182;25;18;TRUE
"699";"699";23;5;5;3;235;16;8;32;237.656;99;0;3;0;0;0;0;75;178;25;25;FALSE
"701";"701";27;5;6;3;179;26;9;30;237.656;99;0;3;0;0;0;0;56;171;19;22;FALSE
"702";"702";7;5;2;3;361;52;3;28;237.656;99;0;1;1;1;0;4;80;172;27;10;TRUE
"703";"703";23;5;4;3;155;12;14;34;237.656;99;0;1;2;1;0;0;95;196;25;14;FALSE
"704";"704";25;5;6;3;179;22;17;40;237.656;99;0;2;2;0;1;0;63;170;22;17;TRUE
"705";"705";10;5;6;3;155;12;14;34;237.656;99;0;1;2;1;0;0;95;196;25;14;TRUE
"706";"706";11;5;2;3;225;26;9;28;237.656;99;0;1;1;0;0;2;69;169;24;28;FALSE
"707";"707";7;6;4;3;118;15;24;46;275.089;96;0;1;2;1;1;0;75;175;25;16;TRUE
"708";"708";27;6;4;3;179;26;9;30;275.089;96;0;3;0;0;0;0;56;171;19;22;FALSE
"709";"709";26;6;6;3;118;10;10;37;275.089;96;0;1;0;0;0;0;83;172;28;34;TRUE
"710";"710";10;6;4;3;118;10;10;37;275.089;96;0;1;0;0;0;0;83;172;28;34;TRUE
"712";"712";19;6;5;3;118;13;18;50;275.089;96;0;1;1;1;0;0;98;178;31;36;TRUE
"714";"714";27;6;6;3;179;26;9;30;275.089;96;0;3;0;0;0;0;56;171;19;22;FALSE
"716";"716";0;6;2;3;268;11;8;33;275.089;96;1;2;0;0;0;0;79;178;25;21;FALSE
"717";"717";19;6;5;3;118;13;18;50;275.089;96;0;1;1;1;0;0;98;178;31;36;FALSE
"718";"718";13;6;5;3;179;26;9;30;275.089;96;0;3;0;0;0;0;56;171;19;22;FALSE
"719";"719";28;6;5;3;291;31;12;40;275.089;96;0;1;1;1;0;1;73;171;25;15;FALSE
"720";"720";13;6;2;1;179;26;9;30;275.089;96;0;3;0;0;0;0;56;171;19;22;FALSE
"721";"721";25;6;2;1;118;10;10;37;275.089;96;0;1;0;0;0;0;83;172;28;34;FALSE
"723";"723";8;6;6;1;118;10;10;37;275.089;96;0;1;0;0;0;0;83;172;28;34;FALSE
"724";"724";10;6;4;1;118;10;10;37;275.089;96;0;1;0;0;0;0;83;172;28;34;FALSE
"725";"725";22;6;4;1;233;51;1;31;275.089;96;0;2;1;1;0;8;68;178;21;12;FALSE
"726";"726";26;7;4;1;235;20;13;43;264.604;93;0;1;1;1;0;0;106;167;38;5;FALSE
"728";"728";6;7;2;1;228;14;16;58;264.604;93;0;1;2;0;0;1;65;172;22;9;TRUE
"730";"730";6;7;3;1;228;14;16;58;264.604;93;0;1;2;0;0;1;65;172;22;9;TRUE
"731";"731";22;7;3;1;189;29;13;33;264.604;93;0;1;2;0;0;2;69;167;25;6;TRUE
"734";"734";22;7;4;1;225;26;9;28;264.604;93;0;1;1;0;0;2;69;169;24;28;TRUE
"735";"735";13;7;2;1;369;17;12;31;264.604;93;0;1;3;1;0;0;70;169;25;13;TRUE
"736";"736";14;7;3;1;289;36;13;33;264.604;93;0;1;2;1;0;1;90;172;30;11;TRUE
"737";"737";11;7;3;1;235;11;14;37;264.604;93;0;3;1;0;0;1;88;172;29;1;FALSE
"739";"739";0;0;4;2;231;35;14;39;271.219;95;0;1;2;1;0;2;100;170;35;8;FALSE
"740";"740";0;0;6;3;179;45;14;53;271.219;95;0;1;1;0;0;1;77;175;25;35;FALSE
